name,type,district,lat,lon,indoor,noise,romantic,budget_level,walk_score,alcohol_available,extrovert_friendly,tags,address,phone
영길리,restaurant,영등포구,37.40024586278059,127.04871955700949,1,3,3,2,3,no,yes,음식점>양식,서울특별시 영등포구 문래동2가 14-59 2층,
오르조 르브텀 여의도,restaurant,영등포구,37.535073728978006,127.03206918899707,1,3,3,2,3,no,yes,음식점>양식,서울특별시 영등포구 여의도동 43 1층 109호,
팜스프링스,cafe,영등포구,37.51251309277567,127.0625279683059,1,2,3,2,3,no,no,브런치카페,서울특별시 영등포구 신길동 137-20 카페팜스프링스,
양키스그릴,restaurant,영등포구,37.43882865875467,126.93626802387963,1,3,3,2,3,no,yes,"음식점>스테이크,립",서울특별시 영등포구 문래동3가 58-35,
갤러리문래,restaurant,영등포구,37.48502190723622,127.02920510248302,1,3,3,2,3,no,yes,음식점>양식,서울특별시 영등포구 문래동2가 14-98 1층,
제이렘333 피제리아,restaurant,영등포구,37.59095055648409,126.95398506889894,1,3,3,2,3,no,yes,음식점>이탈리아음식,서울특별시 영등포구 여의도동 13-21 맨하탄21빌딩 리빙텔 2층 201호,
불란서와이너리,restaurant,영등포구,37.53485458224576,126.93168184304125,1,2,4,4,3,yes,no,술집>와인,서울특별시 영등포구 영등포동1가 116-3 1층,
비닐하우스,restaurant,영등포구,37.42059859196151,126.92659223268865,1,4,2,2,3,yes,yes,술집>요리주점,서울특별시 영등포구 문래동3가 54-39 1층,
와빈,restaurant,영등포구,37.57484697303453,127.00637761806733,1,2,4,4,3,yes,no,술집>와인,서울특별시 영등포구 영등포동3가 17 2층,
당산친친,restaurant,영등포구,37.47976685184211,126.96411224014255,1,2,4,4,3,yes,no,술집>와인,서울특별시 영등포구 양평동4가 27-6 2층 당산친친,
문래 화인,restaurant,영등포구,37.41778041336678,127.07252614328671,1,3,3,2,3,no,yes,음식점>양식,서울특별시 영등포구 문래동2가 60-2 화인,
서가앤쿡 타임스퀘어점,restaurant,영등포구,37.51884326611481,127.07247632811848,1,3,3,2,3,no,yes,음식점>이탈리아음식,서울특별시 영등포구 영등포동4가 442 타임스퀘어 4F,
더플레이스 여의도IFC몰점,restaurant,영등포구,37.55265423857461,126.90219363300885,1,3,3,2,3,no,yes,양식>이탈리아음식,서울특별시 영등포구 여의도동 23 L3층,
댈러스 피자 문래본점,restaurant,영등포구,37.464359214375484,126.99705043979023,1,3,3,2,3,no,yes,음식점>피자,서울특별시 영등포구 문래동2가 14-81 1층,
브뤼셀프라이 영등포타임스퀘어점,restaurant,영등포구,37.47190174251512,127.02327974202272,1,3,3,2,3,no,yes,음식점>후렌치후라이,서울특별시 영등포구 영등포동4가 434-5 신세계백화점 타임스퀘어점 지하1층,
프렌치도그 본점,cafe,영등포구,37.53107883779923,127.06264558542003,1,2,3,2,3,no,no,"음식점>카페,디저트",서울특별시 영등포구 도림동 227-4 102호,
프렌치 비스트로 벨꾸,restaurant,영등포구,37.470684959443076,126.91063604593333,1,3,3,2,3,no,yes,음식점>양식,서울특별시 영등포구 문래동2가 44-17 1층,
프렌치캣 신세계백화점 타임스퀘어점,restaurant,영등포구,37.43075659550189,126.9403443221363,1,3,3,2,3,no,yes,"쇼핑,유통>유아동복",서울특별시 영등포구 영등포동4가 434-5 A관8층,
프렌치캣 롯데백화점 영등포점,restaurant,영등포구,37.514233320577596,126.96997966823568,1,3,3,2,3,no,yes,"쇼핑,유통>유아동복",서울특별시 영등포구 영등포동 618-496,
버윅 더현대 서울점,restaurant,영등포구,37.478788219710616,127.01293898723816,1,3,3,2,3,no,yes,신발>수제화,서울특별시 영등포구 여의도동 22 더현대 서울 3F 버윅,
대교 랭귀지스퀘어 여의도스퀘어,restaurant,영등포구,37.52981672350259,127.01841896894265,1,3,3,2,3,no,yes,어학교육>중국어교육,서울특별시 영등포구 여의도동 44-21 중앙빌딩 10층 1005호,
핀초,restaurant,영등포구,37.47078298586389,127.08838497172299,1,2,4,4,3,yes,no,술집>와인,서울특별시 영등포구 문래동3가 58-57 핀초,
노조미일식,restaurant,영등포구,37.44318605153043,126.96519192958318,1,3,3,2,3,no,yes,음식점>일식>일식당,서울특별시 영등포구 여의도동 15-24 삼희익스콘벤쳐타워 B113호,
동해도 일식,restaurant,영등포구,37.577058612682734,126.91231346143522,1,3,3,2,3,no,yes,음식점>일식>일식당,서울특별시 영등포구 여의도동 14-15 안원빌딩 지하1층,
